CD_MUN;NM_MUN; V06001 ; V06002 ; V06003 ; V06004 ; V06005 
2209559;São Braz do Piauí; 1.519 ; 4.358 ; 2 ; 1.195 ; 798.223 
2901908;Aporá; 5.643 ; 15.854 ; 2 ; 1.195 ; 1.917.109 
2705408;Monteirópolis; 2.211 ; 7.184 ; 3 ; 1.195 ; 1.832.409 
2900306;Acajutiba; 4.768 ; 13.751 ; 3 ; 1.195 ; 1.425.173 
2903706;Boa Nova; 4.728 ; 13.670 ; 2 ; 1.195 ; 1.377.485 
1506401;Santa Cruz do Arari; 1.768 ; 7.420 ; 8 ; 1.194 ; 5.659.813 
1300631;Beruri; 4.513 ; 20.432 ; 6 ; 1.194 ; 4.162.663 
2909208;Coronel João Sá; 6.026 ; 17.047 ; 2 ; 1.194 ; 1.829.837 
2920106;Mairi; 6.377 ; 17.660 ; 2 ; 1.193 ; 1.435.228 
2208205;Pio IX; 6.090 ; 17.577 ; 2 ; 1.193 ; 2.755.969 
2311959;Salitre; 5.358 ; 16.574 ; 2 ; 1.193 ; 197.568.544 
2927309;Salinas da Margarida; 5.330 ; 14.981 ; 2 ; 1.193 ; 2.007.106 
2905909;Campo Alegre de Lourdes; 10.093 ; 30.624 ; 2 ; 1.193 ; 2.319.533 
2203255;Curralinhos; 1.423 ; 4.407 ; 2 ; 1.193 ; 1.202.281 
2201176;Barra D'Alcântara; 1.463 ; 3.995 ; 2 ; 1.192 ; 1.725.869 
2601805;Betânia; 3.774 ; 11.216 ; 2 ; 1.192 ; 1.348.195 
2202117;Campo Alegre do Fidalgo; 1.597 ; 4.614 ; 2 ; 1.192 ; 1.190.668 
2210201;São José do Piauí; 2.287 ; 6.597 ; 2 ; 1.192 ; 866.053 
2313708;Umari; 2.406 ; 6.862 ; 2 ; 1.191 ; 936.090 
2505402;Desterro; 2.842 ; 8.067 ; 2 ; 1.191 ; 4.369.002 
2206605;Monte Alegre do Piauí; 3.273 ; 10.653 ; 3 ; 1.191 ; 1.708.145 
2606507;Iati; 5.674 ; 17.157 ; 2 ; 1.191 ; 1.754.427 
1502509;Chaves; 4.744 ; 20.682 ; 5 ; 1.191 ; 2.306.834 
2611705;Riacho das Almas; 7.743 ; 20.638 ; 2 ; 1.191 ; 1.643.105 
2904308;Brejões; 4.728 ; 12.900 ; 2 ; 1.191 ; 1.714.271 
2508109;Lagoa; 1.488 ; 4.384 ; 2 ; 1.190 ; 1.599.649 
2200301;Alto Longá; 4.665 ; 13.479 ; 2 ; 1.190 ; 2.437.695 
2922607;Nilo Peçanha; 4.292 ; 12.049 ; 2 ; 1.190 ; 3.677.712 
2605608;Flores; 7.520 ; 20.315 ; 2 ; 1.190 ; 2.988.422 
2300606;Altaneira; 2.485 ; 6.771 ; 2 ; 1.190 ; 1.650.684 
2202802;Conceição do Canindé; 1.702 ; 4.919 ; 2 ; 1.190 ; 2.186.621 
2602209;Bom Jardim; 13.250 ; 37.603 ; 2 ; 1.189 ; 2.126.045 
2307635;Madalena; 5.600 ; 16.865 ; 3 ; 1.189 ; 2.048.832 
2312809;Senador Sá; 2.420 ; 7.237 ; 2 ; 1.189 ; 1.417.450 
2301950;Barreira; 7.570 ; 22.381 ; 2 ; 1.189 ; 1.322.114 
2205805;Luzilândia; 7.890 ; 25.368 ; 2 ; 1.189 ; 1.776.978 
2204006;Francinópolis; 1.643 ; 4.503 ; 2 ; 1.188 ; 945.371 
2920452;Mansidão; 3.572 ; 13.871 ; 5 ; 1.188 ; 2.576.784 
2202703;Cocal; 8.940 ; 28.190 ; 3 ; 1.188 ; 2.161.705 
2501609;Barra de Santa Rosa; 4.843 ; 12.901 ; 2 ; 1.188 ; 3.665.980 
2311231;Potiretama; 2.127 ; 5.953 ; 2 ; 1.188 ; 1.665.895 
2303303;Cariús; 6.290 ; 17.015 ; 2 ; 1.187 ; 1.325.882 
